embedding,config_id,rnn_units,dropout,learning_rate,batch_size,val_macro_f1,timestamp_utc
tfidf_svd,0,64,0.5,0.0005,256,0.4460085128081551,2026-02-08T08:20:24Z
tfidf_svd,1,128,0.5,0.0005,512,0.5631029411355074,2026-02-08T09:32:37Z
tfidf_svd,2,128,0.3,0.0005,512,0.4809982740590076,2026-02-08T10:51:34Z
tfidf_svd,3,128,0.3,0.0005,256,0.5908498698384109,2026-02-08T13:24:31Z
tfidf_svd,4,128,0.3,0.001,512,0.014689565456255714,2026-02-08T14:06:01Z
tfidf_svd,5,64,0.3,0.0005,512,0.2882995128007517,2026-02-08T14:33:21Z
tfidf_svd,0,64,0.5,0.0005,256,0.5223536449611438,2026-02-08T15:54:26Z
tfidf_svd,1,128,0.5,0.0005,512,0.5875344823148815,2026-02-08T16:08:57Z
tfidf_svd,2,128,0.3,0.0005,512,0.5984719809875325,2026-02-08T16:21:09Z
tfidf_svd,3,128,0.3,0.0005,256,0.5994536466547011,2026-02-08T16:43:34Z
tfidf_svd,4,128,0.3,0.001,512,0.6289586483627603,2026-02-08T17:00:05Z
tfidf_svd,5,64,0.3,0.0005,512,0.4424782214180405,2026-02-08T17:07:39Z
word2vec_skipgram,0,64,0.5,0.0005,256,0.6810171556590945,2026-02-08T17:21:34Z
word2vec_skipgram,1,128,0.5,0.0005,512,0.7190716573257266,2026-02-08T17:31:13Z
word2vec_skipgram,2,128,0.3,0.0005,512,0.7293176284842503,2026-02-08T17:39:39Z
word2vec_skipgram,3,128,0.3,0.0005,256,0.7249500226767769,2026-02-08T17:55:19Z
word2vec_skipgram,4,128,0.3,0.001,512,0.7250031071920389,2026-02-08T18:14:23Z
word2vec_skipgram,5,64,0.3,0.0005,512,0.6825718388584188,2026-02-08T18:29:50Z
word2vec_cbow,0,64,0.5,0.0005,256,0.6252057264828937,2026-02-08T18:49:49Z
word2vec_cbow,1,128,0.5,0.0005,512,0.6789626912635307,2026-02-08T19:09:01Z
word2vec_cbow,2,128,0.3,0.0005,512,0.6904284411854595,2026-02-08T19:25:18Z
word2vec_cbow,3,128,0.3,0.0005,256,0.6846828863677126,2026-02-08T19:37:50Z
word2vec_cbow,4,128,0.3,0.001,512,0.6796642934577845,2026-02-08T19:50:09Z
word2vec_cbow,5,64,0.3,0.0005,512,0.6161807581116917,2026-02-08T20:00:37Z
